Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - TEST.txt

Data for: 2017-02-27 11:55:00 UTC - 2017-09-13 19:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
TEST	2017-02-27 11:55:00	0.1	0.005	0.022	4.249	0.1	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	2.055	0.0	2017-02-27	06:55:00	US/Eastern
TEST	2017-02-27 12:10:00	0.1	0.005	0.022	4.249	0.099	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	2.055	0.0	2017-02-27	07:10:00	US/Eastern
TEST	2017-02-27 12:25:00	0.1	0.005	0.022	4.249	0.098	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	2.055	0.0	2017-02-27	07:25:00	US/Eastern
TEST	2017-02-27 12:40:00	0.1	0.005	0.022	4.249	0.097	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	2.055	0.0	2017-02-27	07:40:00	US/Eastern
TEST	2017-02-27 12:55:00	0.1	0.005	0.022	4.249	0.096	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	2.055	0.0	2017-02-27	07:55:00	US/Eastern
TEST	2017-02-27 13:10:00	0.1	0.005	0.022	4.249	0.095	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	2.055	0.0	2017-02-27	08:10:00	US/Eastern
TEST	2017-02-27 13:25:00	0.1	0.005	0.022	4.249	0.094	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	2.055	0.0	2017-02-27	08:25:00	US/Eastern
TEST	2017-02-27 13:40:00	0.1	0.005	0.022	4.249	0.093	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	2.055	0.0	2017-02-27	08:40:00	US/Eastern
TEST	2017-02-27 13:55:00	0.1	0.005	0.022	4.249	0.092	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	2.055	0.0	2017-02-27	08:55:00	US/Eastern
TEST	2017-02-27 14:10:00	0.1	0.005	0.022	4.249	0.091	0.005	0.02	4.249	1	0.05	0.224	4.249	1.0	3.182	0.0	2017-02-27	09:10:00	US/Eastern
TEST	2017-02-27 14:25:00	0.1	0.005	0.022	4.225	0.09	0.005	0.02	4.225	1	0.051	0.225	4.225	1.0	3.182	-0.024	2017-02-27	09:25:00	US/Eastern
TEST	2017-02-27 14:40:00	0.1	0.005	0.023	4.203	0.089	0.005	0.02	4.201	1	0.051	0.226	4.203	1.0	3.182	-0.048	2017-02-27	09:40:00	US/Eastern
TEST	2017-02-27 14:55:00	0.1	0.005	0.023	4.18	0.088	0.005	0.02	4.176	1	0.052	0.227	4.18	1.0	3.182	-0.025	2017-02-27	09:55:00	US/Eastern
TEST	2017-02-27 15:10:00	0.1	0.005	0.023	4.158	0.087	0.005	0.02	4.151	1	0.052	0.228	4.158	1.0	3.182	-0.05	2017-02-27	10:10:00	US/Eastern
TEST	2017-02-27 15:25:00	0.1	0.005	0.023	4.136	0.086	0.005	0.02	4.125	1	0.053	0.229	4.136	1.0	3.182	-0.076	2017-02-27	10:25:00	US/Eastern
TEST	2017-02-27 15:40:00	0.1	0.005	0.023	4.115	0.086	0.005	0.02	4.098	1	0.053	0.23	4.115	1.0	3.182	-0.103	2017-02-27	10:40:00	US/Eastern
TEST	2017-02-27 15:55:00	0.1	0.005	0.023	4.094	0.085	0.005	0.02	4.071	1	0.054	0.231	4.094	1.0	3.182	-0.13	2017-02-27	10:55:00	US/Eastern
TEST	2017-02-27 16:10:00	0.1	0.005	0.023	4.073	0.084	0.005	0.02	4.043	1	0.054	0.232	4.073	1.0	3.182	-0.028	2017-02-27	11:10:00	US/Eastern
TEST	2017-02-27 16:25:00	0.1	0.005	0.023	4.052	0.083	0.005	0.02	4.015	1	0.055	0.233	4.052	1.0	3.182	-0.056	2017-02-27	11:25:00	US/Eastern
TEST	2017-02-27 16:40:00	0.1	0.006	0.023	4.032	0.082	0.005	0.019	3.986	1	0.055	0.234	4.032	1.0	3.182	-0.085	2017-02-27	11:40:00	US/Eastern
TEST	2017-02-27 16:55:00	0.1	0.006	0.024	4.012	0.081	0.005	0.019	3.957	1	0.056	0.235	4.012	1.0	3.182	-0.114	2017-02-27	11:55:00	US/Eastern
TEST	2017-02-27 17:10:00	0.1	0.006	0.024	3.992	0.08	0.005	0.019	3.927	1	0.056	0.236	3.992	1.0	3.182	-0.144	2017-02-27	12:10:00	US/Eastern
TEST	2017-02-27 17:25:00	0.1	0.006	0.024	3.973	0.079	0.005	0.019	3.897	1	0.057	0.237	3.973	1.0	3.182	-0.03	2017-02-27	12:25:00	US/Eastern
TEST	2017-02-27 17:40:00	0.1	0.006	0.024	3.954	0.079	0.005	0.019	3.866	1	0.057	0.238	3.954	1.0	3.182	-0.061	2017-02-27	12:40:00	US/Eastern
TEST	2017-02-27 17:55:00	0.1	0.006	0.024	3.935	0.078	0.005	0.019	3.835	1	0.058	0.239	3.935	1.0	3.182	-0.092	2017-02-27	12:55:00	US/Eastern
TEST	2017-02-27 18:10:00	0.1	0.006	0.024	3.916	0.077	0.005	0.019	3.803	1	0.058	0.24	3.916	1.0	3.182	-0.124	2017-02-27	13:10:00	US/Eastern
TEST	2017-02-27 18:25:00	0.1	0.006	0.024	3.898	0.076	0.005	0.019	3.771	1	0.059	0.241	3.898	1.0	3.182	-0.156	2017-02-27	13:25:00	US/Eastern
TEST	2017-02-27 18:40:00	0.1	0.006	0.024	3.879	0.075	0.005	0.019	3.739	1	0.059	0.242	3.879	1.0	3.182	-0.032	2017-02-27	13:40:00	US/Eastern
TEST	2017-02-27 18:55:00	0.1	0.006	0.024	3.861	0.075	0.005	0.019	3.706	1	0.06	0.243	3.861	1.0	3.182	-0.065	2017-02-27	13:55:00	US/Eastern
TEST	2017-02-27 19:10:00	0.1	0.006	0.024	3.844	0.074	0.005	0.019	3.673	1	0.06	0.244	3.844	1.0	3.182	-0.098	2017-02-27	14:10:00	US/Eastern
TEST	2017-02-27 19:25:00	0.1	0.006	0.025	3.826	0.073	0.005	0.019	3.639	1	0.061	0.245	3.826	1.0	3.182	-0.132	2017-02-27	14:25:00	US/Eastern
TEST	2017-02-27 19:40:00	0.1	0.006	0.025	3.809	0.072	0.005	0.019	3.605	1	0.061	0.246	3.809	1.0	3.182	-0.166	2017-02-27	14:40:00	US/Eastern
TEST	2017-02-27 19:55:00	0.1	0.006	0.025	3.792	0.072	0.005	0.019	3.571	1	0.062	0.247	3.792	1.0	3.182	-0.034	2017-02-27	14:55:00	US/Eastern
TEST	2017-02-27 20:10:00	0.1	0.006	0.025	3.775	0.071	0.005	0.019	3.537	1	0.062	0.248	3.775	1.0	3.182	-0.069	2017-02-27	15:10:00	US/Eastern
TEST	2017-02-27 20:25:00	0.1	0.006	0.025	3.758	0.07	0.005	0.019	3.502	1	0.063	0.249	3.758	1.0	3.182	-0.103	2017-02-27	15:25:00	US/Eastern
TEST	2017-02-27 20:40:00	0.1	0.006	0.025	3.742	0.069	0.005	0.019	3.467	1	0.064	0.25	3.742	1.0	3.182	-0.138	2017-02-27	15:40:00	US/Eastern
TEST	2017-02-27 20:55:00	0.1	0.006	0.025	3.725	0.069	0.005	0.019	3.432	1	0.064	0.251	3.725	1.0	3.182	-0.174	2017-02-27	15:55:00	US/Eastern
TEST	2017-02-27 21:10:00	0.1	0.006	0.025	3.709	0.068	0.005	0.019	3.396	1	0.065	0.252	3.709	1.0	3.182	-0.035	2017-02-27	16:10:00	US/Eastern
TEST	2017-02-27 21:25:00	0.1	0.007	0.025	3.694	0.067	0.005	0.019	3.361	1	0.065	0.253	3.694	1.0	3.182	-0.071	2017-02-27	16:25:00	US/Eastern
TEST	2017-02-27 21:40:00	0.1	0.007	0.025	3.678	0.067	0.005	0.019	3.325	1	0.066	0.254	3.678	1.0	3.182	-0.107	2017-02-27	16:40:00	US/Eastern
TEST	2017-02-27 21:55:00	0.1	0.007	0.025	3.662	0.066	0.005	0.019	3.289	1	0.066	0.255	3.662	1.0	3.182	-0.143	2017-02-27	16:55:00	US/Eastern
TEST	2017-02-27 22:10:00	0.1	0.007	0.026	3.647	0.065	0.005	0.019	3.253	1	0.067	0.256	3.647	1.0	3.182	-0.179	2017-02-27	17:10:00	US/Eastern
TEST	2017-02-27 22:25:00	0.1	0.007	0.026	3.632	0.065	0.005	0.019	3.217	1	0.067	0.257	3.632	1.0	3.182	-0.036	2017-02-27	17:25:00	US/Eastern
TEST	2017-02-27 22:40:00	0.1	0.007	0.026	3.617	0.064	0.005	0.019	3.181	1	0.068	0.258	3.617	1.0	3.182	-0.072	2017-02-27	17:40:00	US/Eastern
TEST	2017-02-27 22:55:00	0.1	0.007	0.026	3.602	0.063	0.005	0.019	3.145	1	0.068	0.259	3.602	1.0	3.182	-0.109	2017-02-27	17:55:00	US/Eastern
TEST	2017-02-27 23:10:00	0.1	0.007	0.026	3.587	0.063	0.005	0.019	3.108	1	0.069	0.26	3.587	1.0	3.182	-0.145	2017-02-27	18:10:00	US/Eastern
TEST	2017-02-27 23:25:00	0.1	0.007	0.026	3.573	0.062	0.005	0.019	3.072	1	0.069	0.261	3.573	1.0	3.182	-0.181	2017-02-27	18:25:00	US/Eastern
TEST	2017-02-27 23:40:00	0.1	0.007	0.026	3.558	0.061	0.005	0.019	3.036	1	0.07	0.261	3.558	1.0	3.182	-0.036	2017-02-27	18:40:00	US/Eastern
TEST	2017-02-27 23:55:00	0.1	0.007	0.026	3.544	0.061	0.005	0.019	2.999	1	0.07	0.262	3.544	1.0	3.182	-0.073	2017-02-27	18:55:00	US/Eastern
TEST	2017-02-28 00:10:00	0.1	0.007	0.026	3.53	0.06	0.005	0.019	2.963	1	0.071	0.263	3.53	1.0	3.182	-0.109	2017-02-27	19:10:00	US/Eastern
TEST	2017-02-28 00:25:00	0.1	0.007	0.026	3.516	0.059	0.005	0.019	2.927	1	0.071	0.264	3.516	1.0	3.182	-0.145	2017-02-27	19:25:00	US/Eastern
TEST	2017-02-28 00:40:00	0.1	0.007	0.026	3.502	0.059	0.005	0.019	2.89	1	0.072	0.265	3.502	1.0	3.182	-0.182	2017-02-27	19:40:00	US/Eastern
TEST	2017-02-28 00:55:00	0.1	0.007	0.027	3.489	0.058	0.005	0.019	2.854	1	0.072	0.266	3.489	1.0	3.182	-0.036	2017-02-27	19:55:00	US/Eastern
TEST	2017-02-28 01:10:00	0.1	0.007	0.027	3.475	0.058	0.005	0.019	2.818	1	0.073	0.267	3.475	1.0	3.182	-0.072	2017-02-27	20:10:00	US/Eastern
TEST	2017-02-28 01:25:00	0.1	0.007	0.027	3.462	0.057	0.005	0.019	2.782	1	0.073	0.268	3.462	1.0	3.182	-0.108	2017-02-27	20:25:00	US/Eastern
TEST	2017-02-28 01:40:00	0.1	0.007	0.027	3.449	0.056	0.005	0.019	2.746	1	0.074	0.269	3.449	1.0	3.182	-0.144	2017-02-27	20:40:00	US/Eastern
