Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FCV.txt

Data for: 2017-02-13 03:25:00 UTC - 2017-10-24 20:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FCV	2017-02-13 03:25:00	0.075	0.004	0.017	4.249	0.075	0.004	0.017	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-12	22:25:00	US/Eastern
FCV	2017-02-13 03:40:00	0.075	0.004	0.017	4.249	0.074	0.004	0.017	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-12	22:40:00	US/Eastern
FCV	2017-02-13 03:55:00	0.075	0.004	0.017	4.249	0.073	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-12	22:55:00	US/Eastern
FCV	2017-02-13 04:10:00	0.075	0.004	0.017	4.249	0.072	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-12	23:10:00	US/Eastern
FCV	2017-02-13 04:25:00	0.075	0.004	0.017	4.249	0.072	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-12	23:25:00	US/Eastern
FCV	2017-02-13 04:40:00	0.075	0.004	0.017	4.249	0.071	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-12	23:40:00	US/Eastern
FCV	2017-02-13 04:55:00	0.075	0.004	0.017	4.249	0.07	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-12	23:55:00	US/Eastern
FCV	2017-02-13 05:10:00	0.075	0.004	0.017	4.249	0.069	0.003	0.016	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	00:10:00	US/Eastern
FCV	2017-02-13 05:25:00	0.075	0.004	0.017	4.249	0.069	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	00:25:00	US/Eastern
FCV	2017-02-13 05:40:00	0.075	0.004	0.017	4.249	0.068	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	00:40:00	US/Eastern
FCV	2017-02-13 05:55:00	0.075	0.004	0.017	4.249	0.067	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	00:55:00	US/Eastern
FCV	2017-02-13 06:10:00	0.075	0.004	0.017	4.249	0.067	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	01:10:00	US/Eastern
FCV	2017-02-13 06:25:00	0.075	0.004	0.017	4.249	0.066	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	01:25:00	US/Eastern
FCV	2017-02-13 06:40:00	0.075	0.004	0.017	4.249	0.065	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	01:40:00	US/Eastern
FCV	2017-02-13 06:55:00	0.075	0.004	0.017	4.249	0.065	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	01:55:00	US/Eastern
FCV	2017-02-13 07:10:00	0.075	0.004	0.017	4.249	0.064	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	02:10:00	US/Eastern
FCV	2017-02-13 07:25:00	0.075	0.004	0.017	4.249	0.063	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	02:25:00	US/Eastern
FCV	2017-02-13 07:40:00	0.075	0.004	0.017	4.249	0.063	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	02:40:00	US/Eastern
FCV	2017-02-13 07:55:00	0.075	0.004	0.017	4.249	0.062	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	02:55:00	US/Eastern
FCV	2017-02-13 08:10:00	0.075	0.004	0.017	4.249	0.061	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	2.063	0.0	2017-02-13	03:10:00	US/Eastern
