Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IDX.txt

Data for: 2017-01-03 06:25:00 UTC - 2017-12-22 11:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IDX	2017-01-03 06:25:00	-0.1	-0.015	0.037	-2.32	-0.1	-0.009	0.025	-3.652	1	0.3	0.47	1.489	1.0	2.335	-3.977	2017-01-03	01:25:00	US/Eastern
IDX	2017-01-03 06:40:00	-0.1	-0.015	0.037	-2.32	-0.099	-0.009	0.025	-3.642	1	0.3	0.47	1.489	1.0	2.335	-3.966	2017-01-03	01:40:00	US/Eastern
IDX	2017-01-03 06:55:00	-0.1	-0.015	0.037	-2.32	-0.098	-0.009	0.024	-3.631	1	0.3	0.47	1.489	1.0	2.335	0.011	2017-01-03	01:55:00	US/Eastern
IDX	2017-01-03 07:10:00	-0.1	-0.015	0.037	-2.32	-0.097	-0.009	0.024	-3.62	1	0.3	0.47	1.489	1.0	2.335	0.021	2017-01-03	02:10:00	US/Eastern
IDX	2017-01-03 07:25:00	-0.1	-0.015	0.037	-2.32	-0.096	-0.009	0.024	-3.609	1	0.3	0.47	1.489	1.0	2.335	0.032	2017-01-03	02:25:00	US/Eastern
IDX	2017-01-03 07:40:00	-0.1	-0.015	0.037	-2.32	-0.095	-0.009	0.024	-3.598	1	0.3	0.47	1.489	1.0	2.335	0.043	2017-01-03	02:40:00	US/Eastern
IDX	2017-01-03 07:55:00	-0.1	-0.015	0.037	-2.32	-0.094	-0.009	0.024	-3.587	1	0.3	0.47	1.489	1.0	2.335	0.054	2017-01-03	02:55:00	US/Eastern
IDX	2017-01-03 08:10:00	-0.1	-0.015	0.037	-2.32	-0.093	-0.009	0.024	-3.576	1	0.3	0.47	1.489	1.0	2.335	0.011	2017-01-03	03:10:00	US/Eastern
IDX	2017-01-03 08:25:00	-0.1	-0.015	0.037	-2.32	-0.092	-0.009	0.023	-3.564	1	0.3	0.47	1.489	1.0	2.335	0.023	2017-01-03	03:25:00	US/Eastern
IDX	2017-01-03 08:40:00	-0.1	-0.015	0.037	-2.32	-0.091	-0.009	0.023	-3.553	1	0.3	0.47	1.489	1.0	2.335	0.034	2017-01-03	03:40:00	US/Eastern
