Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PLK.txt

Data for: 2017-10-18 15:40:00 UTC - 2017-10-19 15:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PLK	2017-10-18 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	11:40:00	US/Eastern
PLK	2017-10-18 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	11:55:00	US/Eastern
PLK	2017-10-18 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	12:10:00	US/Eastern
PLK	2017-10-18 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	12:25:00	US/Eastern
PLK	2017-10-18 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	12:40:00	US/Eastern
PLK	2017-10-18 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	12:55:00	US/Eastern
PLK	2017-10-18 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	13:10:00	US/Eastern
PLK	2017-10-18 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	13:25:00	US/Eastern
PLK	2017-10-18 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	13:40:00	US/Eastern
PLK	2017-10-18 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	13:55:00	US/Eastern
PLK	2017-10-18 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	14:10:00	US/Eastern
PLK	2017-10-18 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	14:25:00	US/Eastern
PLK	2017-10-18 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	14:40:00	US/Eastern
PLK	2017-10-18 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	14:55:00	US/Eastern
PLK	2017-10-18 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	15:10:00	US/Eastern
PLK	2017-10-18 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	15:25:00	US/Eastern
PLK	2017-10-18 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	15:40:00	US/Eastern
PLK	2017-10-18 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	15:55:00	US/Eastern
PLK	2017-10-18 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	16:10:00	US/Eastern
PLK	2017-10-18 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	16:25:00	US/Eastern
PLK	2017-10-18 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	16:40:00	US/Eastern
PLK	2017-10-18 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	16:55:00	US/Eastern
PLK	2017-10-18 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	17:10:00	US/Eastern
PLK	2017-10-18 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	17:25:00	US/Eastern
PLK	2017-10-18 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	17:40:00	US/Eastern
PLK	2017-10-18 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	17:55:00	US/Eastern
PLK	2017-10-18 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	18:10:00	US/Eastern
PLK	2017-10-18 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	18:25:00	US/Eastern
PLK	2017-10-18 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	18:40:00	US/Eastern
PLK	2017-10-18 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	18:55:00	US/Eastern
PLK	2017-10-18 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	19:10:00	US/Eastern
PLK	2017-10-18 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	19:25:00	US/Eastern
PLK	2017-10-18 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	19:40:00	US/Eastern
PLK	2017-10-18 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	19:55:00	US/Eastern
PLK	2017-10-19 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	20:10:00	US/Eastern
PLK	2017-10-19 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	20:25:00	US/Eastern
PLK	2017-10-19 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	20:40:00	US/Eastern
PLK	2017-10-19 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	20:55:00	US/Eastern
PLK	2017-10-19 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	21:10:00	US/Eastern
PLK	2017-10-19 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	21:25:00	US/Eastern
PLK	2017-10-19 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	21:40:00	US/Eastern
PLK	2017-10-19 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	21:55:00	US/Eastern
PLK	2017-10-19 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.885	0.0	2017-10-18	22:10:00	US/Eastern
