Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - QLTB.txt

Data for: 2017-01-22 20:10:00 UTC - 2017-01-23 19:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
QLTB	2017-01-22 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	15:10:00	US/Eastern
QLTB	2017-01-22 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	15:25:00	US/Eastern
QLTB	2017-01-22 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	15:40:00	US/Eastern
QLTB	2017-01-22 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	15:55:00	US/Eastern
QLTB	2017-01-22 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	16:10:00	US/Eastern
QLTB	2017-01-22 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	16:25:00	US/Eastern
QLTB	2017-01-22 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	16:40:00	US/Eastern
QLTB	2017-01-22 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	16:55:00	US/Eastern
QLTB	2017-01-22 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	17:10:00	US/Eastern
QLTB	2017-01-22 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	17:25:00	US/Eastern
QLTB	2017-01-22 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	17:40:00	US/Eastern
QLTB	2017-01-22 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	17:55:00	US/Eastern
QLTB	2017-01-22 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	18:10:00	US/Eastern
QLTB	2017-01-22 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	18:25:00	US/Eastern
QLTB	2017-01-22 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	18:40:00	US/Eastern
QLTB	2017-01-22 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	18:55:00	US/Eastern
QLTB	2017-01-23 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	19:10:00	US/Eastern
QLTB	2017-01-23 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.042	0.0	2017-01-22	19:25:00	US/Eastern
