Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - OOK.txt

Data for: 2017-03-15 23:10:00 UTC - 2017-12-30 04:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
OOK	2017-03-15 23:10:00	-0.1	-0.005	0.022	-4.249	-0.099	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	19:10:00	US/Eastern
OOK	2017-03-15 23:25:00	-0.1	-0.005	0.022	-4.249	-0.098	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	19:25:00	US/Eastern
OOK	2017-03-15 23:40:00	-0.1	-0.005	0.022	-4.249	-0.097	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	19:40:00	US/Eastern
OOK	2017-03-15 23:55:00	-0.1	-0.005	0.022	-4.249	-0.096	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	19:55:00	US/Eastern
OOK	2017-03-16 00:10:00	-0.1	-0.005	0.022	-4.249	-0.095	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	20:10:00	US/Eastern
OOK	2017-03-16 00:25:00	-0.1	-0.005	0.022	-4.249	-0.094	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	20:25:00	US/Eastern
OOK	2017-03-16 00:40:00	-0.1	-0.005	0.022	-4.249	-0.093	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	20:40:00	US/Eastern
OOK	2017-03-16 00:55:00	-0.1	-0.005	0.022	-4.249	-0.092	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	20:55:00	US/Eastern
OOK	2017-03-16 01:10:00	-0.1	-0.005	0.022	-4.249	-0.091	-0.005	0.02	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	21:10:00	US/Eastern
OOK	2017-03-16 01:25:00	-0.1	-0.005	0.022	-4.249	-0.09	-0.005	0.02	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	21:25:00	US/Eastern
