Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FAA.txt

Data for: 2017-03-28 11:55:00 UTC - 2017-10-03 20:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FAA	2017-03-28 11:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.978	0.0	2017-03-28	07:55:00	US/Eastern
FAA	2017-03-28 12:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.978	0.0	2017-03-28	08:10:00	US/Eastern
FAA	2017-03-28 12:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.978	0.0	2017-03-28	08:25:00	US/Eastern
FAA	2017-03-28 12:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.978	0.0	2017-03-28	08:40:00	US/Eastern
FAA	2017-03-28 12:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.978	0.0	2017-03-28	08:55:00	US/Eastern
FAA	2017-03-28 13:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	3.043	0.0	2017-03-28	09:10:00	US/Eastern
FAA	2017-03-28 13:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.051	0.225	4.225	1.0	3.043	0.0	2017-03-28	09:25:00	US/Eastern
FAA	2017-03-28 13:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.051	0.226	4.203	1.0	3.043	0.0	2017-03-28	09:40:00	US/Eastern
FAA	2017-03-28 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.052	0.227	4.18	1.0	3.043	0.0	2017-03-28	09:55:00	US/Eastern
FAA	2017-03-28 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.052	0.228	4.158	1.0	3.043	0.0	2017-03-28	10:10:00	US/Eastern
FAA	2017-03-28 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.053	0.229	4.136	1.0	3.043	0.0	2017-03-28	10:25:00	US/Eastern
FAA	2017-03-28 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.053	0.23	4.115	1.0	3.043	0.0	2017-03-28	10:40:00	US/Eastern
FAA	2017-03-28 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.054	0.231	4.094	1.0	3.043	0.0	2017-03-28	10:55:00	US/Eastern
FAA	2017-03-28 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.054	0.232	4.073	1.0	3.043	0.0	2017-03-28	11:10:00	US/Eastern
FAA	2017-03-28 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.055	0.233	4.052	1.0	3.043	0.0	2017-03-28	11:25:00	US/Eastern
FAA	2017-03-28 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.055	0.234	4.032	1.0	3.043	0.0	2017-03-28	11:40:00	US/Eastern
FAA	2017-03-28 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.056	0.235	4.012	1.0	3.043	0.0	2017-03-28	11:55:00	US/Eastern
FAA	2017-03-28 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.056	0.236	3.992	1.0	3.043	0.0	2017-03-28	12:10:00	US/Eastern
FAA	2017-03-28 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.057	0.237	3.973	1.0	3.043	0.0	2017-03-28	12:25:00	US/Eastern
FAA	2017-03-28 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.057	0.238	3.954	1.0	3.043	0.0	2017-03-28	12:40:00	US/Eastern
FAA	2017-03-28 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.058	0.239	3.935	1.0	3.043	0.0	2017-03-28	12:55:00	US/Eastern
FAA	2017-03-28 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.058	0.24	3.916	1.0	3.043	0.0	2017-03-28	13:10:00	US/Eastern
FAA	2017-03-28 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.059	0.241	3.898	1.0	3.043	0.0	2017-03-28	13:25:00	US/Eastern
FAA	2017-03-28 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.059	0.242	3.879	1.0	3.043	0.0	2017-03-28	13:40:00	US/Eastern
FAA	2017-03-28 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.06	0.243	3.861	1.0	3.043	0.0	2017-03-28	13:55:00	US/Eastern
FAA	2017-03-28 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.06	0.244	3.844	1.0	3.043	0.0	2017-03-28	14:10:00	US/Eastern
FAA	2017-03-28 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.061	0.245	3.826	1.0	3.043	0.0	2017-03-28	14:25:00	US/Eastern
FAA	2017-03-28 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.061	0.246	3.809	1.0	3.043	0.0	2017-03-28	14:40:00	US/Eastern
FAA	2017-03-28 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.062	0.247	3.792	1.0	3.043	0.0	2017-03-28	14:55:00	US/Eastern
FAA	2017-03-28 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.063	0.248	3.775	1.0	3.043	0.0	2017-03-28	15:10:00	US/Eastern
FAA	2017-03-28 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.063	0.249	3.758	1.0	3.043	0.0	2017-03-28	15:25:00	US/Eastern
FAA	2017-03-28 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.064	0.25	3.742	1.0	3.043	0.0	2017-03-28	15:40:00	US/Eastern
FAA	2017-03-28 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.064	0.251	3.725	1.0	3.043	0.0	2017-03-28	15:55:00	US/Eastern
FAA	2017-03-28 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.065	0.252	3.709	1.0	3.043	0.0	2017-03-28	16:10:00	US/Eastern
FAA	2017-03-28 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.065	0.253	3.694	1.0	3.043	0.0	2017-03-28	16:25:00	US/Eastern
FAA	2017-03-28 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.066	0.254	3.678	1.0	3.043	0.0	2017-03-28	16:40:00	US/Eastern
FAA	2017-03-28 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.066	0.255	3.662	1.0	3.043	0.0	2017-03-28	16:55:00	US/Eastern
