Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IFEU.txt

Data for: 2017-03-09 10:25:00 UTC - 2017-12-23 12:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IFEU	2017-03-09 10:25:00	-0.25	-0.012	0.056	-4.249	-0.25	-0.012	0.056	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	05:25:00	US/Eastern
IFEU	2017-03-09 10:40:00	-0.25	-0.012	0.056	-4.249	-0.247	-0.012	0.055	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	05:40:00	US/Eastern
IFEU	2017-03-09 10:55:00	-0.25	-0.012	0.056	-4.249	-0.244	-0.012	0.055	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	05:55:00	US/Eastern
IFEU	2017-03-09 11:10:00	-0.25	-0.012	0.056	-4.249	-0.242	-0.012	0.054	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	06:10:00	US/Eastern
IFEU	2017-03-09 11:25:00	-0.25	-0.012	0.056	-4.249	-0.239	-0.012	0.054	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	06:25:00	US/Eastern
IFEU	2017-03-09 11:40:00	-0.25	-0.012	0.056	-4.249	-0.237	-0.012	0.053	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	06:40:00	US/Eastern
IFEU	2017-03-09 11:55:00	-0.25	-0.012	0.056	-4.249	-0.234	-0.012	0.052	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	06:55:00	US/Eastern
IFEU	2017-03-09 12:10:00	-0.25	-0.012	0.056	-4.249	-0.232	-0.012	0.052	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	07:10:00	US/Eastern
IFEU	2017-03-09 12:25:00	-0.25	-0.012	0.056	-4.249	-0.23	-0.011	0.051	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	07:25:00	US/Eastern
IFEU	2017-03-09 12:40:00	-0.25	-0.012	0.056	-4.249	-0.227	-0.011	0.051	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	07:40:00	US/Eastern
IFEU	2017-03-09 12:55:00	-0.25	-0.012	0.056	-4.249	-0.225	-0.011	0.05	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	07:55:00	US/Eastern
IFEU	2017-03-09 13:10:00	-0.25	-0.012	0.056	-4.249	-0.223	-0.011	0.05	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	08:10:00	US/Eastern
IFEU	2017-03-09 13:25:00	-0.25	-0.012	0.056	-4.249	-0.22	-0.011	0.049	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	08:25:00	US/Eastern
IFEU	2017-03-09 13:40:00	-0.25	-0.012	0.056	-4.249	-0.218	-0.011	0.049	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	08:40:00	US/Eastern
IFEU	2017-03-09 13:55:00	-0.25	-0.012	0.056	-4.249	-0.216	-0.011	0.048	-4.249	1	0.05	0.224	4.249	1.0	1.856	0.0	2017-03-09	08:55:00	US/Eastern
IFEU	2017-03-09 14:10:00	-0.25	-0.012	0.056	-4.249	-0.214	-0.011	0.048	-4.249	1	0.05	0.224	4.249	1.0	3.059	0.0	2017-03-09	09:10:00	US/Eastern
IFEU	2017-03-09 14:25:00	-0.25	-0.013	0.056	-4.225	-0.211	-0.011	0.047	-4.225	1	0.051	0.225	4.225	1.0	3.059	0.024	2017-03-09	09:25:00	US/Eastern
IFEU	2017-03-09 14:40:00	-0.25	-0.013	0.056	-4.203	-0.209	-0.011	0.047	-4.201	1	0.051	0.226	4.203	1.0	3.059	0.048	2017-03-09	09:40:00	US/Eastern
IFEU	2017-03-09 14:55:00	-0.25	-0.013	0.057	-4.18	-0.207	-0.011	0.047	-4.176	1	0.052	0.227	4.18	1.0	3.059	0.025	2017-03-09	09:55:00	US/Eastern
IFEU	2017-03-09 15:10:00	-0.25	-0.013	0.057	-4.158	-0.205	-0.011	0.047	-4.151	1	0.052	0.228	4.158	1.0	3.059	0.05	2017-03-09	10:10:00	US/Eastern
IFEU	2017-03-09 15:25:00	-0.25	-0.013	0.057	-4.136	-0.203	-0.011	0.047	-4.125	1	0.053	0.229	4.136	1.0	3.059	0.076	2017-03-09	10:25:00	US/Eastern
IFEU	2017-03-09 15:40:00	-0.25	-0.013	0.058	-4.115	-0.201	-0.011	0.046	-4.098	1	0.053	0.23	4.115	1.0	3.059	0.103	2017-03-09	10:40:00	US/Eastern
IFEU	2017-03-09 15:55:00	-0.25	-0.013	0.058	-4.094	-0.198	-0.011	0.046	-4.071	1	0.054	0.231	4.094	1.0	3.059	0.13	2017-03-09	10:55:00	US/Eastern
IFEU	2017-03-09 16:10:00	-0.25	-0.014	0.058	-4.073	-0.196	-0.011	0.046	-4.043	1	0.054	0.232	4.073	1.0	3.059	0.028	2017-03-09	11:10:00	US/Eastern
IFEU	2017-03-09 16:25:00	-0.25	-0.014	0.058	-4.052	-0.194	-0.011	0.046	-4.015	1	0.055	0.233	4.052	1.0	3.059	0.056	2017-03-09	11:25:00	US/Eastern
IFEU	2017-03-09 16:40:00	-0.25	-0.014	0.059	-4.032	-0.192	-0.011	0.046	-3.986	1	0.055	0.234	4.032	1.0	3.059	0.085	2017-03-09	11:40:00	US/Eastern
IFEU	2017-03-09 16:55:00	-0.25	-0.014	0.059	-4.012	-0.19	-0.011	0.045	-3.957	1	0.056	0.235	4.012	1.0	3.059	0.114	2017-03-09	11:55:00	US/Eastern
IFEU	2017-03-09 17:10:00	-0.25	-0.014	0.059	-3.992	-0.188	-0.011	0.045	-3.927	1	0.056	0.236	3.992	1.0	3.059	0.144	2017-03-09	12:10:00	US/Eastern
IFEU	2017-03-09 17:25:00	-0.25	-0.014	0.059	-3.973	-0.186	-0.011	0.045	-3.897	1	0.057	0.237	3.973	1.0	3.059	0.03	2017-03-09	12:25:00	US/Eastern
IFEU	2017-03-09 17:40:00	-0.25	-0.014	0.06	-3.954	-0.185	-0.011	0.045	-3.866	1	0.057	0.238	3.954	1.0	3.059	0.061	2017-03-09	12:40:00	US/Eastern
IFEU	2017-03-09 17:55:00	-0.25	-0.014	0.06	-3.935	-0.183	-0.011	0.045	-3.835	1	0.058	0.239	3.935	1.0	3.059	0.092	2017-03-09	12:55:00	US/Eastern
IFEU	2017-03-09 18:10:00	-0.25	-0.015	0.06	-3.916	-0.181	-0.011	0.045	-3.803	1	0.058	0.24	3.916	1.0	3.059	0.124	2017-03-09	13:10:00	US/Eastern
IFEU	2017-03-09 18:25:00	-0.25	-0.015	0.06	-3.898	-0.179	-0.011	0.045	-3.771	1	0.059	0.241	3.898	1.0	3.059	0.156	2017-03-09	13:25:00	US/Eastern
IFEU	2017-03-09 18:40:00	-0.25	-0.015	0.061	-3.879	-0.177	-0.011	0.044	-3.739	1	0.059	0.242	3.879	1.0	3.059	0.032	2017-03-09	13:40:00	US/Eastern
IFEU	2017-03-09 18:55:00	-0.25	-0.015	0.061	-3.861	-0.175	-0.011	0.044	-3.706	1	0.06	0.243	3.861	1.0	3.059	0.065	2017-03-09	13:55:00	US/Eastern
IFEU	2017-03-09 19:10:00	-0.25	-0.015	0.061	-3.844	-0.173	-0.011	0.044	-3.673	1	0.06	0.244	3.844	1.0	3.059	0.098	2017-03-09	14:10:00	US/Eastern
IFEU	2017-03-09 19:25:00	-0.25	-0.015	0.061	-3.826	-0.172	-0.011	0.044	-3.639	1	0.061	0.245	3.826	1.0	3.059	0.132	2017-03-09	14:25:00	US/Eastern
IFEU	2017-03-09 19:40:00	-0.25	-0.015	0.062	-3.809	-0.17	-0.011	0.044	-3.605	1	0.061	0.246	3.809	1.0	3.059	0.166	2017-03-09	14:40:00	US/Eastern
IFEU	2017-03-09 19:55:00	-0.25	-0.015	0.062	-3.792	-0.168	-0.011	0.044	-3.571	1	0.062	0.247	3.792	1.0	3.059	0.034	2017-03-09	14:55:00	US/Eastern
IFEU	2017-03-09 20:10:00	-0.25	-0.016	0.062	-3.775	-0.166	-0.011	0.044	-3.537	1	0.062	0.248	3.775	1.0	3.059	0.069	2017-03-09	15:10:00	US/Eastern
IFEU	2017-03-09 20:25:00	-0.25	-0.016	0.062	-3.758	-0.165	-0.011	0.044	-3.502	1	0.063	0.249	3.758	1.0	3.059	0.103	2017-03-09	15:25:00	US/Eastern
IFEU	2017-03-09 20:40:00	-0.25	-0.016	0.063	-3.742	-0.163	-0.011	0.044	-3.467	1	0.064	0.25	3.742	1.0	3.059	0.138	2017-03-09	15:40:00	US/Eastern
IFEU	2017-03-09 20:55:00	-0.25	-0.016	0.063	-3.725	-0.161	-0.011	0.044	-3.432	1	0.064	0.251	3.725	1.0	3.059	0.174	2017-03-09	15:55:00	US/Eastern
