Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - UAG.txt

Data for: 2016-01-29 14:40:00 UTC - 2016-12-30 22:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
UAG	2016-01-29 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	09:40:00	US/Eastern
UAG	2016-01-29 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	09:55:00	US/Eastern
UAG	2016-01-29 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	10:10:00	US/Eastern
UAG	2016-01-29 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	10:25:00	US/Eastern
UAG	2016-01-29 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	10:40:00	US/Eastern
UAG	2016-01-29 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	10:55:00	US/Eastern
UAG	2016-01-29 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	11:10:00	US/Eastern
UAG	2016-01-29 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	11:25:00	US/Eastern
UAG	2016-01-29 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	11:40:00	US/Eastern
UAG	2016-01-29 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	11:55:00	US/Eastern
UAG	2016-01-29 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	12:10:00	US/Eastern
UAG	2016-01-29 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	12:25:00	US/Eastern
UAG	2016-01-29 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	12:40:00	US/Eastern
UAG	2016-01-29 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	12:55:00	US/Eastern
UAG	2016-01-29 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	13:10:00	US/Eastern
UAG	2016-01-29 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	13:25:00	US/Eastern
UAG	2016-01-29 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	13:40:00	US/Eastern
UAG	2016-01-29 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	13:55:00	US/Eastern
UAG	2016-01-29 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	14:10:00	US/Eastern
UAG	2016-01-29 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	14:25:00	US/Eastern
UAG	2016-01-29 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	14:40:00	US/Eastern
UAG	2016-01-29 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	14:55:00	US/Eastern
UAG	2016-01-29 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	15:10:00	US/Eastern
UAG	2016-01-29 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	15:25:00	US/Eastern
UAG	2016-01-29 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	15:40:00	US/Eastern
UAG	2016-01-29 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	15:55:00	US/Eastern
UAG	2016-01-29 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	16:10:00	US/Eastern
UAG	2016-01-29 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	16:25:00	US/Eastern
UAG	2016-01-29 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	16:40:00	US/Eastern
UAG	2016-01-29 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.15	0.489	3.78	1.0	4.313	0.0	2016-01-29	16:55:00	US/Eastern
