Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DEW.txt

Data for: 2016-01-20 17:25:00 UTC - 2016-12-02 19:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DEW	2016-01-20 17:25:00	-0.25	-0.012	0.056	-4.249	-0.248	-0.012	0.055	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	12:25:00	US/Eastern
DEW	2016-01-20 17:40:00	-0.25	-0.012	0.056	-4.249	-0.246	-0.012	0.055	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	12:40:00	US/Eastern
DEW	2016-01-20 17:55:00	-0.25	-0.012	0.056	-4.249	-0.243	-0.012	0.054	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	12:55:00	US/Eastern
DEW	2016-01-20 18:10:00	-0.25	-0.012	0.056	-4.249	-0.241	-0.012	0.054	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	13:10:00	US/Eastern
DEW	2016-01-20 18:25:00	-0.25	-0.012	0.056	-4.249	-0.238	-0.012	0.053	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	13:25:00	US/Eastern
DEW	2016-01-20 18:40:00	-0.25	-0.012	0.056	-4.249	-0.236	-0.012	0.053	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	13:40:00	US/Eastern
DEW	2016-01-20 18:55:00	-0.25	-0.012	0.056	-4.249	-0.233	-0.012	0.052	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	13:55:00	US/Eastern
DEW	2016-01-20 19:10:00	-0.25	-0.012	0.056	-4.249	-0.231	-0.012	0.052	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	14:10:00	US/Eastern
DEW	2016-01-20 19:25:00	-0.25	-0.012	0.056	-4.249	-0.228	-0.011	0.051	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	14:25:00	US/Eastern
DEW	2016-01-20 19:40:00	-0.25	-0.012	0.056	-4.249	-0.226	-0.011	0.051	-4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	14:40:00	US/Eastern
