Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PFA.txt

Data for: 2016-03-13 19:40:00 UTC - 2016-10-27 08:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PFA	2016-03-13 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	15:40:00	US/Eastern
PFA	2016-03-13 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	15:55:00	US/Eastern
PFA	2016-03-13 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	16:10:00	US/Eastern
PFA	2016-03-13 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	16:25:00	US/Eastern
PFA	2016-03-13 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	16:40:00	US/Eastern
PFA	2016-03-13 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	16:55:00	US/Eastern
PFA	2016-03-13 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	17:10:00	US/Eastern
PFA	2016-03-13 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	17:25:00	US/Eastern
PFA	2016-03-13 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	17:40:00	US/Eastern
PFA	2016-03-13 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	17:55:00	US/Eastern
PFA	2016-03-13 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	18:10:00	US/Eastern
PFA	2016-03-13 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	18:25:00	US/Eastern
PFA	2016-03-13 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	18:40:00	US/Eastern
PFA	2016-03-13 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.11	0.0	2016-03-13	18:55:00	US/Eastern
