Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - GMTB.txt

Data for: 2016-07-26 20:40:00 UTC - 2016-11-15 14:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
GMTB	2016-07-26 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	16:40:00	US/Eastern
GMTB	2016-07-26 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	16:55:00	US/Eastern
GMTB	2016-07-26 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	17:10:00	US/Eastern
GMTB	2016-07-26 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	17:25:00	US/Eastern
GMTB	2016-07-26 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	17:40:00	US/Eastern
GMTB	2016-07-26 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	17:55:00	US/Eastern
GMTB	2016-07-26 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	18:10:00	US/Eastern
GMTB	2016-07-26 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	18:25:00	US/Eastern
GMTB	2016-07-26 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	18:40:00	US/Eastern
GMTB	2016-07-26 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	18:55:00	US/Eastern
GMTB	2016-07-26 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	19:10:00	US/Eastern
GMTB	2016-07-26 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	19:25:00	US/Eastern
GMTB	2016-07-26 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	19:40:00	US/Eastern
GMTB	2016-07-26 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	19:55:00	US/Eastern
GMTB	2016-07-27 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	20:10:00	US/Eastern
GMTB	2016-07-27 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	20:25:00	US/Eastern
GMTB	2016-07-27 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	20:40:00	US/Eastern
GMTB	2016-07-27 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	20:55:00	US/Eastern
GMTB	2016-07-27 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	21:10:00	US/Eastern
GMTB	2016-07-27 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	21:25:00	US/Eastern
GMTB	2016-07-27 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	21:40:00	US/Eastern
GMTB	2016-07-27 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	21:55:00	US/Eastern
GMTB	2016-07-27 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	22:10:00	US/Eastern
GMTB	2016-07-27 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	22:25:00	US/Eastern
GMTB	2016-07-27 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	22:40:00	US/Eastern
GMTB	2016-07-27 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	22:55:00	US/Eastern
GMTB	2016-07-27 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	23:10:00	US/Eastern
GMTB	2016-07-27 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	23:25:00	US/Eastern
GMTB	2016-07-27 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	23:40:00	US/Eastern
GMTB	2016-07-27 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-26	23:55:00	US/Eastern
GMTB	2016-07-27 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-27	00:10:00	US/Eastern
GMTB	2016-07-27 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.812	0.0	2016-07-27	00:25:00	US/Eastern
