Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IBCE.txt

Data for: 2016-06-22 13:55:00 UTC - 2016-06-28 20:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IBCE	2016-06-22 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	09:55:00	US/Eastern
IBCE	2016-06-22 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	10:10:00	US/Eastern
IBCE	2016-06-22 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	10:25:00	US/Eastern
IBCE	2016-06-22 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	10:40:00	US/Eastern
IBCE	2016-06-22 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	10:55:00	US/Eastern
IBCE	2016-06-22 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	11:10:00	US/Eastern
IBCE	2016-06-22 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	11:25:00	US/Eastern
IBCE	2016-06-22 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	11:40:00	US/Eastern
IBCE	2016-06-22 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	11:55:00	US/Eastern
IBCE	2016-06-22 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	12:10:00	US/Eastern
IBCE	2016-06-22 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	12:25:00	US/Eastern
IBCE	2016-06-22 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	12:40:00	US/Eastern
IBCE	2016-06-22 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	12:55:00	US/Eastern
IBCE	2016-06-22 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	13:10:00	US/Eastern
IBCE	2016-06-22 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	13:25:00	US/Eastern
IBCE	2016-06-22 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	13:40:00	US/Eastern
IBCE	2016-06-22 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	13:55:00	US/Eastern
IBCE	2016-06-22 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	14:10:00	US/Eastern
IBCE	2016-06-22 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	14:25:00	US/Eastern
IBCE	2016-06-22 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	14:40:00	US/Eastern
IBCE	2016-06-22 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	14:55:00	US/Eastern
IBCE	2016-06-22 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	15:10:00	US/Eastern
IBCE	2016-06-22 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	15:25:00	US/Eastern
IBCE	2016-06-22 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	15:40:00	US/Eastern
IBCE	2016-06-22 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	15:55:00	US/Eastern
IBCE	2016-06-22 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	16:10:00	US/Eastern
IBCE	2016-06-22 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	16:25:00	US/Eastern
IBCE	2016-06-22 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	16:40:00	US/Eastern
IBCE	2016-06-22 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	16:55:00	US/Eastern
IBCE	2016-06-22 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.824	0.0	2016-06-22	17:10:00	US/Eastern
