Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FGD.txt

Data for: 2016-01-21 18:55:00 UTC - 2016-12-10 17:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FGD	2016-01-21 18:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	13:55:00	US/Eastern
FGD	2016-01-21 19:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	14:10:00	US/Eastern
FGD	2016-01-21 19:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	14:25:00	US/Eastern
FGD	2016-01-21 19:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	14:40:00	US/Eastern
FGD	2016-01-21 19:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	14:55:00	US/Eastern
FGD	2016-01-21 20:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	15:10:00	US/Eastern
FGD	2016-01-21 20:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	15:25:00	US/Eastern
FGD	2016-01-21 20:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	15:40:00	US/Eastern
FGD	2016-01-21 20:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	15:55:00	US/Eastern
FGD	2016-01-21 21:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	16:10:00	US/Eastern
FGD	2016-01-21 21:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	16:25:00	US/Eastern
FGD	2016-01-21 21:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	16:40:00	US/Eastern
FGD	2016-01-21 21:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	16:55:00	US/Eastern
FGD	2016-01-21 22:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	17:10:00	US/Eastern
FGD	2016-01-21 22:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	17:25:00	US/Eastern
FGD	2016-01-21 22:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	17:40:00	US/Eastern
FGD	2016-01-21 22:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	17:55:00	US/Eastern
FGD	2016-01-21 23:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	18:10:00	US/Eastern
FGD	2016-01-21 23:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	18:25:00	US/Eastern
FGD	2016-01-21 23:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	18:40:00	US/Eastern
FGD	2016-01-21 23:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	18:55:00	US/Eastern
FGD	2016-01-22 00:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	19:10:00	US/Eastern
FGD	2016-01-22 00:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	19:25:00	US/Eastern
FGD	2016-01-22 00:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	19:40:00	US/Eastern
FGD	2016-01-22 00:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	19:55:00	US/Eastern
FGD	2016-01-22 01:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	20:10:00	US/Eastern
FGD	2016-01-22 01:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	20:25:00	US/Eastern
FGD	2016-01-22 01:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	20:40:00	US/Eastern
FGD	2016-01-22 01:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	20:55:00	US/Eastern
FGD	2016-01-22 02:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	21:10:00	US/Eastern
FGD	2016-01-22 02:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	21:25:00	US/Eastern
FGD	2016-01-22 02:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	21:40:00	US/Eastern
FGD	2016-01-22 02:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	21:55:00	US/Eastern
FGD	2016-01-22 03:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	22:10:00	US/Eastern
FGD	2016-01-22 03:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	22:25:00	US/Eastern
FGD	2016-01-22 03:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	22:40:00	US/Eastern
FGD	2016-01-22 03:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	22:55:00	US/Eastern
FGD	2016-01-22 04:10:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	23:10:00	US/Eastern
FGD	2016-01-22 04:25:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	23:25:00	US/Eastern
FGD	2016-01-22 04:40:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	23:40:00	US/Eastern
FGD	2016-01-22 04:55:00	0.0	-0.012	0.056	0.224	0.0	-0.006	0.027	0.224	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	23:55:00	US/Eastern
