Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DTH.txt

Data for: 2016-05-02 14:55:00 UTC - 2016-11-15 17:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DTH	2016-05-02 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	10:55:00	US/Eastern
DTH	2016-05-02 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	11:10:00	US/Eastern
DTH	2016-05-02 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	11:25:00	US/Eastern
DTH	2016-05-02 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	11:40:00	US/Eastern
DTH	2016-05-02 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	11:55:00	US/Eastern
DTH	2016-05-02 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	12:10:00	US/Eastern
DTH	2016-05-02 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	12:25:00	US/Eastern
DTH	2016-05-02 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	12:40:00	US/Eastern
DTH	2016-05-02 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	12:55:00	US/Eastern
DTH	2016-05-02 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	13:10:00	US/Eastern
DTH	2016-05-02 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	13:25:00	US/Eastern
DTH	2016-05-02 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	13:40:00	US/Eastern
DTH	2016-05-02 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	13:55:00	US/Eastern
DTH	2016-05-02 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	14:10:00	US/Eastern
DTH	2016-05-02 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	14:25:00	US/Eastern
DTH	2016-05-02 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	14:40:00	US/Eastern
DTH	2016-05-02 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	14:55:00	US/Eastern
DTH	2016-05-02 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	15:10:00	US/Eastern
DTH	2016-05-02 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	15:25:00	US/Eastern
DTH	2016-05-02 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	15:40:00	US/Eastern
DTH	2016-05-02 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	15:55:00	US/Eastern
DTH	2016-05-02 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	16:10:00	US/Eastern
DTH	2016-05-02 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	16:25:00	US/Eastern
DTH	2016-05-02 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	16:40:00	US/Eastern
DTH	2016-05-02 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	16:55:00	US/Eastern
DTH	2016-05-02 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	17:10:00	US/Eastern
DTH	2016-05-02 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	17:25:00	US/Eastern
DTH	2016-05-02 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	17:40:00	US/Eastern
DTH	2016-05-02 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	17:55:00	US/Eastern
DTH	2016-05-02 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	18:10:00	US/Eastern
DTH	2016-05-02 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	18:25:00	US/Eastern
DTH	2016-05-02 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	18:40:00	US/Eastern
DTH	2016-05-02 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	18:55:00	US/Eastern
DTH	2016-05-02 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	19:10:00	US/Eastern
DTH	2016-05-02 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	19:25:00	US/Eastern
DTH	2016-05-02 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	19:40:00	US/Eastern
DTH	2016-05-02 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	19:55:00	US/Eastern
DTH	2016-05-03 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	20:10:00	US/Eastern
DTH	2016-05-03 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	20:25:00	US/Eastern
DTH	2016-05-03 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	20:40:00	US/Eastern
DTH	2016-05-03 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	20:55:00	US/Eastern
DTH	2016-05-03 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	21:10:00	US/Eastern
DTH	2016-05-03 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	21:25:00	US/Eastern
DTH	2016-05-03 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	21:40:00	US/Eastern
DTH	2016-05-03 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	21:55:00	US/Eastern
DTH	2016-05-03 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	22:10:00	US/Eastern
DTH	2016-05-03 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	22:25:00	US/Eastern
DTH	2016-05-03 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	22:40:00	US/Eastern
DTH	2016-05-03 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	22:55:00	US/Eastern
DTH	2016-05-03 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	23:10:00	US/Eastern
DTH	2016-05-03 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	23:25:00	US/Eastern
DTH	2016-05-03 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	23:40:00	US/Eastern
DTH	2016-05-03 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-02	23:55:00	US/Eastern
DTH	2016-05-03 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-03	00:10:00	US/Eastern
DTH	2016-05-03 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-03	00:25:00	US/Eastern
DTH	2016-05-03 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-03	00:40:00	US/Eastern
DTH	2016-05-03 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-03	00:55:00	US/Eastern
DTH	2016-05-03 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	2.047	0.0	2016-05-03	01:10:00	US/Eastern
