Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - AGZD.txt

Data for: 2016-01-27 14:10:00 UTC - 2016-12-22 19:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
AGZD	2016-01-27 14:10:00	0.025	0.001	0.006	4.249	0.025	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	3.109	0.0	2016-01-27	09:10:00	US/Eastern
AGZD	2016-01-27 14:25:00	0.025	0.001	0.006	4.225	0.024	0.001	0.006	4.225	1	0.051	0.225	4.225	1.0	3.109	-0.024	2016-01-27	09:25:00	US/Eastern
AGZD	2016-01-27 14:40:00	0.025	0.001	0.006	4.203	0.024	0.001	0.005	4.201	1	0.051	0.226	4.203	1.0	3.109	-0.024	2016-01-27	09:40:00	US/Eastern
AGZD	2016-01-27 14:55:00	0.025	0.001	0.006	4.18	0.024	0.001	0.005	4.176	1	0.052	0.227	4.18	1.0	3.109	-0.025	2016-01-27	09:55:00	US/Eastern
AGZD	2016-01-27 15:10:00	0.025	0.001	0.006	4.158	0.024	0.001	0.005	4.151	1	0.052	0.228	4.158	1.0	3.109	-0.05	2016-01-27	10:10:00	US/Eastern
AGZD	2016-01-27 15:25:00	0.025	0.001	0.006	4.136	0.023	0.001	0.005	4.125	1	0.053	0.229	4.136	1.0	3.109	-0.076	2016-01-27	10:25:00	US/Eastern
AGZD	2016-01-27 15:40:00	0.025	0.001	0.006	4.115	0.023	0.001	0.005	4.098	1	0.053	0.23	4.115	1.0	3.109	-0.103	2016-01-27	10:40:00	US/Eastern
AGZD	2016-01-27 15:55:00	0.025	0.001	0.006	4.094	0.023	0.001	0.005	4.071	1	0.054	0.231	4.094	1.0	3.109	-0.13	2016-01-27	10:55:00	US/Eastern
AGZD	2016-01-27 16:10:00	0.025	0.001	0.006	4.073	0.023	0.001	0.005	4.043	1	0.054	0.232	4.073	1.0	3.109	-0.028	2016-01-27	11:10:00	US/Eastern
AGZD	2016-01-27 16:25:00	0.025	0.001	0.006	4.052	0.023	0.001	0.005	4.015	1	0.055	0.233	4.052	1.0	3.109	-0.056	2016-01-27	11:25:00	US/Eastern
AGZD	2016-01-27 16:40:00	0.025	0.001	0.006	4.032	0.022	0.001	0.005	3.986	1	0.055	0.234	4.032	1.0	3.109	-0.085	2016-01-27	11:40:00	US/Eastern
AGZD	2016-01-27 16:55:00	0.025	0.001	0.006	4.012	0.022	0.001	0.005	3.957	1	0.056	0.235	4.012	1.0	3.109	-0.114	2016-01-27	11:55:00	US/Eastern
AGZD	2016-01-27 17:10:00	0.025	0.001	0.006	3.992	0.022	0.001	0.005	3.927	1	0.056	0.236	3.992	1.0	3.109	-0.144	2016-01-27	12:10:00	US/Eastern
AGZD	2016-01-27 17:25:00	0.025	0.001	0.006	3.973	0.022	0.001	0.005	3.897	1	0.057	0.237	3.973	1.0	3.109	-0.03	2016-01-27	12:25:00	US/Eastern
AGZD	2016-01-27 17:40:00	0.025	0.001	0.006	3.954	0.021	0.001	0.005	3.866	1	0.057	0.238	3.954	1.0	3.109	-0.061	2016-01-27	12:40:00	US/Eastern
AGZD	2016-01-27 17:55:00	0.025	0.001	0.006	3.935	0.021	0.001	0.005	3.835	1	0.058	0.239	3.935	1.0	3.109	-0.092	2016-01-27	12:55:00	US/Eastern
AGZD	2016-01-27 18:10:00	0.025	0.001	0.006	3.916	0.021	0.001	0.005	3.803	1	0.058	0.24	3.916	1.0	3.109	-0.124	2016-01-27	13:10:00	US/Eastern
AGZD	2016-01-27 18:25:00	0.025	0.001	0.006	3.898	0.021	0.001	0.005	3.771	1	0.059	0.241	3.898	1.0	3.109	-0.156	2016-01-27	13:25:00	US/Eastern
AGZD	2016-01-27 18:40:00	0.025	0.001	0.006	3.879	0.021	0.001	0.005	3.739	1	0.059	0.242	3.879	1.0	3.109	-0.032	2016-01-27	13:40:00	US/Eastern
AGZD	2016-01-27 18:55:00	0.025	0.001	0.006	3.861	0.02	0.001	0.005	3.706	1	0.06	0.243	3.861	1.0	3.109	-0.065	2016-01-27	13:55:00	US/Eastern
AGZD	2016-01-27 19:10:00	0.025	0.002	0.006	3.844	0.02	0.001	0.005	3.673	1	0.06	0.244	3.844	1.0	3.109	-0.098	2016-01-27	14:10:00	US/Eastern
AGZD	2016-01-27 19:25:00	0.025	0.002	0.006	3.826	0.02	0.001	0.005	3.639	1	0.061	0.245	3.826	1.0	3.109	-0.132	2016-01-27	14:25:00	US/Eastern
AGZD	2016-01-27 19:40:00	0.025	0.002	0.006	3.809	0.02	0.001	0.005	3.605	1	0.061	0.246	3.809	1.0	3.109	-0.166	2016-01-27	14:40:00	US/Eastern
AGZD	2016-01-27 19:55:00	0.025	0.002	0.006	3.792	0.019	0.001	0.005	3.571	1	0.062	0.247	3.792	1.0	3.109	-0.034	2016-01-27	14:55:00	US/Eastern
AGZD	2016-01-27 20:10:00	0.025	0.002	0.006	3.775	0.019	0.001	0.005	3.537	1	0.062	0.248	3.775	1.0	3.109	-0.069	2016-01-27	15:10:00	US/Eastern
AGZD	2016-01-27 20:25:00	0.025	0.002	0.006	3.758	0.019	0.001	0.005	3.502	1	0.063	0.249	3.758	1.0	3.109	-0.103	2016-01-27	15:25:00	US/Eastern
AGZD	2016-01-27 20:40:00	0.025	0.002	0.006	3.742	0.019	0.001	0.005	3.467	1	0.064	0.25	3.742	1.0	3.109	-0.138	2016-01-27	15:40:00	US/Eastern
AGZD	2016-01-27 20:55:00	0.025	0.002	0.006	3.725	0.019	0.001	0.005	3.432	1	0.064	0.251	3.725	1.0	3.109	-0.174	2016-01-27	15:55:00	US/Eastern
AGZD	2016-01-27 21:10:00	0.025	0.002	0.006	3.709	0.018	0.001	0.005	3.396	1	0.065	0.252	3.709	1.0	3.109	-0.035	2016-01-27	16:10:00	US/Eastern
AGZD	2016-01-27 21:25:00	0.025	0.002	0.006	3.694	0.018	0.001	0.005	3.361	1	0.065	0.253	3.694	1.0	3.109	-0.071	2016-01-27	16:25:00	US/Eastern
AGZD	2016-01-27 21:40:00	0.025	0.002	0.006	3.678	0.018	0.001	0.005	3.325	1	0.066	0.254	3.678	1.0	3.109	-0.107	2016-01-27	16:40:00	US/Eastern
AGZD	2016-01-27 21:55:00	0.025	0.002	0.006	3.662	0.018	0.001	0.005	3.289	1	0.066	0.255	3.662	1.0	3.109	-0.143	2016-01-27	16:55:00	US/Eastern
AGZD	2016-01-27 22:10:00	0.025	0.002	0.006	3.647	0.018	0.001	0.005	3.253	1	0.067	0.256	3.647	1.0	3.109	-0.179	2016-01-27	17:10:00	US/Eastern
AGZD	2016-01-27 22:25:00	0.025	0.002	0.006	3.632	0.018	0.001	0.005	3.217	1	0.067	0.257	3.632	1.0	3.109	-0.036	2016-01-27	17:25:00	US/Eastern
AGZD	2016-01-27 22:40:00	0.025	0.002	0.006	3.617	0.017	0.001	0.005	3.181	1	0.068	0.258	3.617	1.0	3.109	-0.072	2016-01-27	17:40:00	US/Eastern
AGZD	2016-01-27 22:55:00	0.025	0.002	0.006	3.602	0.017	0.001	0.005	3.145	1	0.068	0.259	3.602	1.0	3.109	-0.109	2016-01-27	17:55:00	US/Eastern
AGZD	2016-01-27 23:10:00	0.025	0.002	0.006	3.587	0.017	0.001	0.005	3.108	1	0.069	0.26	3.587	1.0	3.109	-0.145	2016-01-27	18:10:00	US/Eastern
AGZD	2016-01-27 23:25:00	0.025	0.002	0.007	3.573	0.017	0.001	0.005	3.072	1	0.069	0.261	3.573	1.0	3.109	-0.181	2016-01-27	18:25:00	US/Eastern
